ID,Name,Age,City,Salary,Purchase_Amount
985,Erica Griffin,51,Lake Hollyview,78799.97,92.75
986,Debra Holmes,60,Williamstown,88536.16,277.62
987,Mrs. Kristina Lee,20,New Aaronville,85805.99,428.45
988,Robert Grant,31,Abbotthaven,95309.13,353.18
989,John Sexton,57,Lake Paulhaven,68138.84,152.94
990,Michael Yu,22,East Barry,40019.9,363.3
991,Henry Leon,18,Victoriashire,42141.69,380.98
992,Richard Valdez MD,37,Rowebury,46966.12,244.7
993,Angel Blair,18,Nathantown,83139.31,146.18
994,Edward Norman,49,Clarkborough,72090.81,405.81
995,Mrs. Stephanie Hamilton DDS,19,Lake Rachael,98722.94,354.72
996,Adrian Jordan,33,Jacquelineport,53026.69,288.24
997,Eileen Camacho,57,Lake Lisa,69836.4,94.47
998,Jared Ramsey,39,Allenberg,91150.0,374.54
999,Kirk Weaver,64,Taylorton,69847.96,328.3
1000,Kathy Davis,36,West Aaron,45365.62,191.22
